,ID,titles,descriptions,pictures,k_means,nature,history,travel,romantic,diversity,educational,crime,action,politics,teen,reality,k_means,youth,adults,seniors
0,91,Ali B geeft antwoord ,"Theatervoorstelling. Het publiek mag Ali B het hemd van het lijf vragen. Hoe heb je je vrouw ontmoet? Wat wil je je kinderen meegeven? Wie inspireert jou? Tijdens de voorstelling is Ali B eerlijk, ongezouten en humorvol. Nooit eerder was hij zo openhartig over zijn eigen leven. Hij doet dit zondere gêne en is eerlijk over zijn gokverslaving en de onvoorwaardelijke liefde van en voor zijn moeder.",https://images.npo.nl/header/2560x1440/217219.jpg,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1,1462,Leven in de Brouwerij ,Bierliefhebber Patrick Stoof neemt vriend Kasper van Kooten mee in zijn zoektocht naar het perfecte biertje.,https://images.npo.nl/header/2560x1440/leven_id_brouwerij_bckgrnd_cdn_header-1590061054.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,391,David Attenborough's Rariteitenkabinet ,David Attenborough heeft zijn levenswerk gemaakt van het in beeld brengen van het leven op onze planeet.,https://images.npo.nl/header/2560x1440/foto_afl3_David_Attenborough_en_orang_oetan___copyright_Adam_Scott_cdn_header-1589924434.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2087,Sam ,"Documentaire van Ria Bremer, Doret van der Sloot. Negentien jaar volgde Ria Bremer het zwaar gehandicapte jongetje Sam, doof en blind door een spierziekte. Een film over de worsteling van zijn ouders, het dilemma van de dokters en de levenslust van Sam. Ria Bremer ontmoet Sam voor het eerst in 1992, voor het AVRO-programma Vinger aan de Pols. Zijn levensverwachting is dan minder dan een jaar. Bij het maken van de film was het uitgangspunt negentien jaar geleden: het volgen van de beslismomenten in een leven dat nog maar een paar maanden kon duren, volgens de artsen. Maar Sam is er nog steeds en zijn vreugde wint het nog steeds van zijn verdriet. Een leven dat blijft verbazen. In de afgelopen jaren zijn de vele gesprekken met de ouders en het behandelend team vastgelegd. Er werd gesproken over zinloos medisch handelen. Zinloos omdat een leven geen kwaliteit meer zou kennen, wanneer je niet meer kunt horen, niet meer kunt zien en niet meer zelf kunt ademhalen. Maar het leven van Sam ging verder, ondanks die criteria. Er wordt een speciaal hand/wang alfabet voor hem ontwikkeld, hij behaalt diploma's, hij krijgt zijn eigen appartement met verzorging, hij studeert. Hij reist de wereld rond en wil nu rechten studeren. De documentaire geeft een beeld van een leven dat geleefd wordt tegen alle verdrukking in... Het leven van Sam ging vanaf zijn vijfde bergafwaarts. Ria ontmoet Sam voor het eerst in 1992 voor het AVRO programma Vinger aan de pols. Zijn levensverwachting is dan minder dan een jaar. Bij het maken van de film was het uitgangspunt 19 jaar geleden: het volgen van de beslismomenten in een leven dat nog maar een paar maanden kon duren, volgens de artsen. Maar Sam is er nog steeds en zijn vreugde wint het nog steeds van zijn verdriet. Een leven dat blijft verbazen.",https://images.poms.omroep.nl/image/s2560/c2560x1440/138942.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4,2141,Slag in de Javazee ,Theo Doorman gaat op expeditie naar de plek waar zijn vader om het leven kwam in de Javazee.,https://images.npo.nl/header/2560x1440/862599.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1921,Over-leven in ontwikkelingslanden ,"Hoe kun je overleven in een ontwikkelingsland? Mannen, vrouwen en kinderen vertellen presentator Sulay Reval zonder omhaal hoe ze leven in hun stad of dorp.",https://images.npo.nl/header/2560x1440/133523.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1008,"Hallo, ik heb kanker ",Met een vlogcamera leggen vier tieners hun dagelijks leven met kanker vast.,https://images.npo.nl/header/2560x1440/Hallo__ik_heb_kanker_groepsfoto_met_Pjotr_cdn_header-1643009748.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,672,De zaak van je Leven ,"Rechercheurs blikken terug op geruchtmakende moordzaken. In elke aflevering wordt duidelijk hoe groot de impact van het onderzoek is geweest op de levens van de rechercheurs, hun collega's, getuigen en nabestaanden.",https://images.npo.nl/header/2560x1440/Zaak_van_je_Leven_AFL_1_Arthur_1_cdn_header-1590029738.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
8,958,Gesneuveld ,Een filmisch monument van Robert Oey voor soldaten die ver van huis en familie hun leven verloren om in een ander werelddeel vrede te bevechten. Over de families die achterbleven en hun rouw die nooit eindigt.,https://images.npo.nl/header/2560x1440/881471.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,306,"Cape Town, Gang Town, Lockdown ","Bram Vermeulen geeft een unieke kijk in de wijk Manenberg, berucht wegens de bendeoorlog die vorig jaar aan meer dan 3000 Zuid-Afrikanen het leven kostte. De uitbraak van Covid-19 heeft de bendes tot een wapenstilstand gedwongen. Terwijl andere wijken voedselhulp krijgen van de Zuid-Afrikaanse overheid en er op grote schaal wordt getest op het virus, is Manenberg volledig op zichzelf aangewezen. De bendes houden de eigen gemeenschap in leven, terwijl leger en politie met ijzeren vuist de orde bewaken.",https://images.npo.nl/header/2560x1440/1393416.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
10,952,Geluk in het Hindoehuwelijk ,"Elk mens streeft ernaar om gelukkig te worden. Volgens het hindoeïsme zijn er verschillende manieren om het ultieme geluk te bereiken. Een daarvan is het huwelijk, de ‘Grihast-ashram’; een van de belangrijkste fases in het leven van een hindoe. Trouwen met de partner van je dromen en dan samen nog lang en gelukkig leven: is het een sprookje, of kan het ook echt?",https://images.npo.nl/header/2560x1440/191660.jpg,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
11,1373,Kiwi & Strit ,"Op een open plek in het bos leven twee grappige, pluizige wezentjes: Kiwi is toegewijd, netjes en geel, Strit is een paarse losbol en sloddervos. Ze zijn nieuwsgierig en maken altijd veel lol.",https://images.npo.nl/header/2560x1440/742881.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1341,Kernpunt ,Hoe passen mensen natuurkundige en scheikundige kennis toe in het dagelijks leven en in beroepen?,https://images.npo.nl/header/2560x1440/425162.jpg,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
